tag,readratio,writeratio,benchmark,read_bw_gb,write_bw_gb,read_bw_std,write_bw_std,read_bw_wall_gb,write_bw_wall_gb,read_bw_wall_std,write_bw_wall_std,wall_s,nb_runs
repl,40,60,readwrite_random,3.3316666932000003,1.1272828996,0.1607529376895379,0.03555227035887297,2.981934809501129,1.0072047238920976,0.2390086457698296,0.02192505378765049,33.6,5
unrepl-bound,40,60,readwrite_random,43.7698970634,49.962280588599995,5.7666135387443145,2.2511203672272972,19.78492349466875,22.696719631038356,1.5591040605383641,1.4866488063741634,66.2,5
unrepl-firsttouch,40,60,readwrite_random,67.89115384179999,92.6782521252,5.956945189395954,6.595952571325675,37.572928149961776,51.42068671702693,4.0797501991784735,6.309556993043451,54.4,5
unrepl-interleaved,40,60,readwrite_random,62.6789144728,88.63611407559999,11.2838715099632,10.442142573899876,42.82304651022541,61.34505728596953,3.2161667669366625,8.080921611749218,44.4,5
default,30,70,readwrite_random,47.8710313968,106.628238191,3.350735539325861,6.214696943042768,28.781724211317254,64.13561005581425,1.6108319398396151,3.510775270438901,50.0,5
interleaved,30,70,readwrite_random,48.0361564082,108.41273427339999,1.806022302630954,3.156913833448109,31.65084916339061,71.52099853787821,1.282223810436601,4.5821428693330235,45.6,5
numabalancing,30,70,readwrite_random,42.39281555,94.01222325379999,5.451072220408503,10.56712436784112,27.386970610641935,60.8139813099279,3.068487764908877,6.745565332282896,46.4,5
repl,30,70,readwrite_random,1.8802556121999998,1.3216566924,0.08813607217128062,0.06261269483668327,1.6238911380150138,1.1394637335164077,0.11794202553801506,0.03415329892667973,34.8,5
unrepl-bound,30,70,readwrite_random,28.8025019848,57.850248583200006,2.309005969532477,2.28499178471483,13.293322353041166,26.70816182125383,0.9626622858806808,0.9397487398769208,65.0,5
unrepl-firsttouch,30,70,readwrite_random,50.7972711606,106.9797374492,6.902502839578062,13.09976959214696,25.54700174536368,53.781625460896656,4.9929254072922715,9.8349620435786,60.2,5
unrepl-interleaved,30,70,readwrite_random,52.647570891,117.3362414084,2.0612662323075663,7.0067173291714075,30.0646477341896,66.88793384907586,2.407194250764934,4.346090673702671,52.8,5
default,20,80,readwrite_random,31.296675381199996,115.8336004126,2.153221188297443,9.658132374590258,17.106578241886965,63.43405962448518,3.1893908989271784,12.960003525847258,56.0,5
interleaved,20,80,readwrite_random,33.230234474999996,124.6137876856,0.9227150381019682,2.524240432914223,20.846931030886502,78.19264105004915,1.35968026607169,5.179011012295794,48.0,5
numabalancing,20,80,readwrite_random,24.136396524,91.0068570852,4.532135164229624,15.113021522956963,13.70239236739845,51.562733201975526,4.166206062840097,14.62577247761627,54.6,5
repl,20,80,readwrite_random,1.1272673966,1.4503100070000001,0.0730389106760456,0.02945787711103395,0.9895837956758851,1.2724687417705933,0.07200172872791064,0.01606802855873283,34.2,5
unrepl-bound,20,80,readwrite_random,18.4927016348,62.493728151000006,1.8110102937699672,3.940298821061303,8.436396994098077,28.444782943510496,0.9397730718608844,0.7258732733771662,66.0,5
unrepl-firsttouch,20,80,readwrite_random,35.2038447778,117.5354340842,3.358133087478262,14.963446780584105,17.246490986144956,57.89549928641647,3.3844430976067406,14.661197735769264,62.2,5
unrepl-interleaved,20,80,readwrite_random,37.5098925322,137.59360235100002,2.1053989769218227,3.099705838399606,22.781664833285227,83.56078274685387,1.2789230915352678,1.38981248729017,49.4,5
default,10,90,readwrite_random,15.9715377996,136.3636084368,1.5336226048224058,7.634173391148782,8.898415250646167,75.92882556737733,1.1914543264739799,7.463297493447996,54.2,5
interleaved,10,90,readwrite_random,16.9116132672,140.6132689266,1.467483610212057,7.632264407364745,10.793075603956776,89.83006102129791,0.6648962551930394,3.752921517782552,47.0,5
numabalancing,10,90,readwrite_random,14.838622215000001,114.9952835762,1.1870632852214316,7.848393916350791,7.7209713759662915,59.75200059412305,0.9315010419511963,5.6772078460306625,58.0,5
repl,10,90,readwrite_random,0.45392727380000003,1.627138785,0.02102657196734765,0.08937646082685942,0.40613084985127923,1.454139335769962,0.019620027510058712,0.027222998343766958,33.6,5
unrepl-bound,10,90,readwrite_random,8.6995124878,66.176072546,0.7312372663244537,4.026897526277786,3.873356781242921,29.50928641180038,0.10389215396786447,0.9304948168399002,67.4,5
unrepl-firsttouch,10,90,readwrite_random,18.2809492992,141.39151369719997,3.334319126081113,20.422471733405185,9.283111341122487,71.6659049148946,2.4404801743512143,16.51114030874004,60.2,5
unrepl-interleaved,10,90,readwrite_random,18.477428251200003,155.4818245678,1.561354596813507,4.687171396594699,10.654888684234654,89.870395387141,0.5931549976880901,4.597661067738423,52.0,5
